Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F5: 126, Sample, n/a, SFug_F1	Abundances Count: F5: 126, Sample, n/a, SFug_F1	Modifications
Q7JYX5	Vesicle-associated membrane protein 7	6.42	2	3	2	19026.7057	2	
Q7JYZ0	lysozyme	11.18	2	6	2	20468.23516	5	
Q7JYZ9	Glutathione S transferase E2	8.6	2	8	2	77568.2653	8	
Q7JZB1	RE49860p	8.66	3	5	3	10073.80487	3	
Q7JZD3	Eb1, isoform A	53.61	14	46	1	476530.29594000004	38	
Q7JZE1	Peroxin 11	9.96	3	6	3	11845.523099999999	4	
Q7JZF5	DNA-directed RNA polymerases I, II, and III subunit RPABC1	24.29	5	8	5	65037.0917	7	
Q7JZK1	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6	38.71	7	43	7	1513903.45643	40	
Q7JZN0	Protein transport protein Sec61 subunit beta	58.0	6	22	6	47928.2707	10	
Q7JZR5	asparagine--tRNA ligase	3.7	2	3	2	6482.7872	2	
Q7JZW0	Cuticular protein 51A	54.86	8	28	8	632827.10566	22	
Q7JZW2	40S ribosomal protein S15	50.68	8	27	3	865404.89144	27	
Q7K012	Brahma associated protein 55kD	12.0	5	8	5	24064.50673	7	
Q7K084	Odorant-binding protein 44a, isoform A	75.52	18	208	18	4601430.383	146	
Q7K0A0	Large ribosomal subunit protein mL42	15.32	2	4	2	14522.5137	3	
Q7K0B6	Glutathione S transferase T1	52.63	13	44	13	687093.486	37	
Q7K0E6	Aspartate--tRNA ligase, cytoplasmic	17.7	8	14	8	96502.85346	12	
Q7K0L5	5'-nucleotidase	3.67	2	4	1	2887.6428	1	
Q7K0P0	Juvenile hormone-inducible protein 26	4.1	2	3	2	15897.36744	3	
Q7K0S1	LD39211p	3.43	2	3	2	5406.87036	3	
Q7K0S5	UBX domain-containing protein 6	30.39	15	33	15	178884.79433	21	
Q7K0S6	LD36817p	21.02	8	13	8	55742.9417	11	
Q7K0T7	LD33470p	1.5	2	2	0	686.3989	1	
Q7K0W1	LD27406p	3.85	2	2	2	10221.35666	2	
Q7K0W4	LD27203p	56.4	18	61	17	2134516.55196	41	
Q7K0X9	LD23667p	8.51	2	17	2	41802.34519	14	
Q7K126	CCR4-NOT transcription complex subunit 3	5.21	5	8	5	22205.93169	6	
Q7K127	Alpha-galactosidase	18.71	7	24	7	254237.9656	16	
Q7K130	Dynactin subunit 4	4.67	3	4	3	13501.49613	3	
